Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
03/02/2020_23:55:16;19.1;31.9;558;410.4;440.00
04/02/2020_00:00:16;19.5;36.0;645;610.6;640.00
04/02/2020_00:05:16;19.8;34.8;702;539.0;570.00
04/02/2020_00:10:16;19.7;35.5;708;560.4;580.00
04/02/2020_00:15:16;19.9;35.9;714;551.1;580.00
04/02/2020_00:20:16;19.8;36.0;713;539.6;590.00
04/02/2020_00:25:16;19.9;36.6;708;534.1;580.00
04/02/2020_00:30:16;19.9;37.2;711;548.3;590.00
04/02/2020_00:35:16;19.9;37.3;713;542.5;580.00
04/02/2020_00:40:16;19.9;37.7;713;535.2;590.00
04/02/2020_00:45:16;19.8;38.1;714;527.9;590.00
04/02/2020_00:50:16;19.9;38.2;714;527.3;590.00
04/02/2020_00:55:16;19.9;38.5;719;543.8;590.00
04/02/2020_01:00:16;19.9;38.8;719;524.0;590.00
04/02/2020_01:05:16;19.9;39.0;720;526.5;590.00
04/02/2020_01:10:16;19.9;39.3;722;553.1;590.00
04/02/2020_01:15:16;20.0;39.4;725;542.3;590.00
04/02/2020_01:20:16;20.0;39.7;740;540.5;610.00
04/02/2020_01:25:16;19.8;39.9;728;548.8;600.00
04/02/2020_01:30:16;19.9;40.1;733;550.7;610.00
04/02/2020_01:35:16;20.0;40.1;739;552.9;610.00
04/02/2020_01:40:16;20.0;40.5;745;562.3;610.00
04/02/2020_01:45:16;20.0;40.6;748;545.5;620.00
04/02/2020_01:50:17;19.9;40.7;742;544.3;610.00
04/02/2020_01:55:17;19.9;40.8;748;580.2;620.00
04/02/2020_02:00:17;19.9;41.1;745;568.2;620.00
04/02/2020_02:05:17;19.9;41.2;753;576.5;630.00
04/02/2020_02:10:17;19.9;41.4;750;562.8;630.00
04/02/2020_02:15:17;19.8;41.3;753;577.8;630.00
04/02/2020_02:20:17;19.8;41.7;759;590.7;640.00
04/02/2020_02:25:17;19.8;41.6;765;575.3;630.00
04/02/2020_02:30:17;19.8;41.8;765;582.7;630.00
04/02/2020_02:35:17;19.9;41.9;771;591.5;640.00
04/02/2020_02:40:17;19.9;42.0;777;609.7;660.00
04/02/2020_02:45:17;19.9;42.3;780;611.3;640.00
04/02/2020_02:50:17;19.9;42.4;784;605.3;650.00
04/02/2020_02:55:17;19.7;42.4;785;602.9;650.00
04/02/2020_03:00:17;19.9;42.6;793;617.8;660.00
04/02/2020_03:05:17;19.8;42.8;788;615.6;660.00
04/02/2020_03:10:17;19.9;43.0;790;609.2;670.00
04/02/2020_03:15:17;19.8;42.8;805;628.7;670.00
04/02/2020_03:20:17;19.9;43.1;811;612.7;680.00
